id,fen,name,moves,ECO,parent,child,white,draws,black,bullet_avg,blitz_avg,rapid_avg,classical_avg,0_white,0_draws,0_black,1000_white,1000_draws,1000_black,1200_white,1200_draws,1200_black,1400_white,1400_draws,1400_black,1600_white,1600_draws,1600_black,1800_white,1800_draws,1800_black,2000_white,2000_draws,2000_black,2200_white,2200_draws,2200_black,2500_white,2500_draws,2500_black,bullet_white,bullet_draws,bullet_black,blitz_white,blitz_draws,blitz_black,rapid_white,rapid_draws,rapid_black,classical_white,classical_draws,classical_black
27,rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 0 4,"English: King's, 2.Nc3 Nf6 3.Nf3 d6",1.c4 e5 2.Nc3 Nf6 3.Nf3 d6,A22,,[],325221,31930,246901,1766.1,1812.2,1750.5,1696.0,3904,362,3398,10574,771,8828,24002,1781,20193,47775,3703,39427,81591,7096,65522,100305,9946,75290,69754,7496,47793,24300,3369,17729,1496,320,1140,125318,8601,98915,257831,24892,196872,62128,6508,46428,5262,530,3601
28,rnbqk2r/pppp1ppp/5n2/4p3/1bP5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 1 4,"English Opening: King's English Variation, Two Knights Variation, Smyslov System",1.c4 e5 2.Nc3 Nf6 3.g3 Bb4,A22,,[],405775,39243,374881,1685.3,1746.2,1716.4,1707.8,2996,221,2767,13722,959,12827,44887,3268,41342,94241,7187,85416,120024,10218,107212,103772,10200,93368,58386,6972,57434,27346,4205,28978,2006,461,2473,140127,8657,123811,319229,30141,292396,80157,8308,76220,6389,794,6265
29,rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 1 4,"English: Bremen, 3...Bc5",1.c4 e5 2.Nc3 Nf6 3.g3 Bc5,A22,,[],545182,42115,420343,1609.9,1674.3,1642.3,1650.4,10372,634,8690,35179,2103,29222,85434,5152,68114,144068,8928,112818,172136,12164,132091,145576,12345,111159,67663,6798,51749,15369,1816,12100,370,64,426,143839,7270,110301,392232,29617,305379,139665,11406,105993,13285,1092,8971
30,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 0 4,"English Opening: King's English Variation, Two Knights Variation, Keres Variation",1.c4 e5 2.Nc3 Nf6 3.g3 c6,A23,,[],355933,36018,321912,1780.6,1810.2,1764.2,1726.6,3216,236,3024,11042,817,10208,26721,1811,24742,53586,4060,49340,89053,7656,80857,113606,11574,101251,73187,8536,64896,24991,3844,23940,1510,348,1628,96636,6218,87642,269203,26461,243224,79694,8658,72332,7036,899,6356
31,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 0 4,"English Opening: King's English Variation, Two Knights Variation, Reversed Dragon",1.c4 e5 2.Nc3 Nf6 3.g3 d5,A22,,[366],485501,50178,429199,1736.8,1753.0,1687.8,1692.5,7308,548,7295,27124,2032,25508,62606,4642,56895,104829,7842,91198,128340,11178,108842,125864,13143,110003,84011,10969,78786,40171,6556,38051,2286,490,2319,154069,10817,138873,361916,36904,321858,112054,11970,97929,11531,1304,9412
32,rnbqkb1r/pppp2pp/5n2/4pp2/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 1 4,"English: King's, 2.Nc3 f5",1.c4 e5 2.Nc3 f5 3.g3 Nf6,A21,,[],309514,25676,250889,1766.1,1852.7,1829.1,1761.2,1284,97,1036,5265,349,4282,14751,916,11922,33719,2008,27677,67659,4630,56007,109776,8982,88487,77312,7494,61872,20530,2466,16356,518,96,490,122444,6457,95344,264292,21402,213908,42783,4034,35000,2439,240,1981
33,rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 3 4,"English: King's, 2.g3 Nf6 3.Bg2 Bc5",1.c4 e5 2.g3 Nf6 3.Bg2 Bc5,A20,,[],408374,32319,316206,1637.3,1686.5,1661.6,1677.4,5960,379,5134,23892,1375,19710,61992,3769,50719,109951,6929,85912,128426,9212,99765,100153,8361,75689,50373,5180,38913,18206,2334,14647,1265,303,1280,100683,5050,76345,284611,22089,221812,112308,9166,86089,11455,1064,8305
34,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 3 4,"English: King's, 2.g3 Nf6 3.Bg2 Nc6",1.c4 e5 2.g3 Nf6 3.Bg2 Nc6,A20,,[],465838,43310,368736,1758.0,1742.7,1647.9,1669.6,10496,727,8610,33511,2314,26909,73286,5064,58671,111963,8021,86843,120808,9387,94063,102497,9504,81159,77303,8642,63091,49361,6974,40348,3906,782,3232,237828,14791,192448,354378,32954,282793,101573,9273,78757,9887,1083,7186
35,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,"English: King's, 2.g3 Nf6 3.Bg2 c6",1.c4 e5 2.g3 Nf6 3.Bg2 c6,A20,,[],337870,35567,295018,1842.9,1841.8,1763.7,1741.4,2486,181,2309,9854,668,8614,25422,1798,22853,50677,3928,45382,80137,6980,71456,97626,9857,84867,69403,8267,58146,35405,5464,30679,4622,1071,4488,100191,7115,89007,260597,26872,226100,70676,7860,63003,6597,835,5915
36,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,"English: King's, 2.g3 Nf6 3.Bg2 d5",1.c4 e5 2.g3 Nf6 3.Bg2 d5,A20,,[],309013,32502,259102,1860.1,1841.2,1728.4,1721.4,3337,241,2980,11755,720,10064,28950,1872,24533,52667,3716,43442,71851,5886,59442,75388,7240,63092,61889,7805,53020,42961,6919,36204,4257,936,3902,138546,9710,116682,237769,25125,200021,64534,6605,53754,6710,772,5327
37,rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq - 1 4,English Opening: Neo-Catalan,1.c4 e6 2.Nf3 d5 3.g3 Nf6,A13,,[367],417123,63036,335042,2177.4,2146.3,2031.5,1925.2,483,29,356,1488,92,1144,3932,288,3245,10613,833,8503,29841,2692,23565,77033,8178,59754,133339,18291,104666,142848,26902,118081,23449,6140,20473,217520,19900,168936,373105,55544,301378,40116,6740,30704,3902,752,2960
38,rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 0 4,London System Main Line with 3. ...e6,1.d4 Nf6 2.Bf4 e6 3.e3 d5,A45,,[],5490748,547330,4674987,1659.9,1700.9,1662.8,1670.6,106342,7259,86220,315224,22435,257420,702311,50508,585815,1210184,94072,1037401,1621938,144283,1389823,1563098,163487,1323907,817496,101081,688020,261833,40596,221616,16199,3811,14220,2878587,197845,2500119,4371030,428247,3715431,1049031,110326,897897,70687,8757,61659
39,rnbqkb1r/ppp2ppp/5p2/3p4/3P4/8/PPP1PPPP/RN1QKBNR w KQkq - 0 4,Trompowsky: 2...d5 3.Bxf6 exf6,1.d4 Nf6 2.Bg5 d5 3.Bxf6 exf6,D00,,[],399497,48196,347202,1879.0,1860.5,1699.0,1698.9,4427,578,5446,13061,1268,13629,30356,2719,30630,53883,4889,54082,77758,7857,74502,104537,11335,88960,99431,12714,76421,58335,9980,48069,5553,1421,5168,364789,28829,316504,337987,40288,286802,57341,7234,56008,4169,674,4392
40,rnbqkb1r/p1pp1ppp/1p2pn2/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,Neo-Queen's Indian,1.d4 Nf6 2.Nf3 b6 3.Bf4 e6,A47,,[],277811,33706,267914,1927.6,1921.2,1813.9,1762.8,976,49,922,4372,262,4037,13716,912,12669,30215,2211,28626,51746,4621,49520,73077,8007,70834,69934,9671,68479,46779,7866,44962,6060,1330,5493,131483,10848,125116,234689,28009,225258,40044,5226,39413,3078,471,3243
41,rnbqkb1r/p1pp1ppp/1p2pn2/8/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Neo-Queen's Indian,1.d4 Nf6 2.Nf3 b6 3.e3 e6,A47,,[],263060,33548,273040,1975.9,1893.8,1752.0,1698.1,1387,94,1623,5082,329,5375,14255,1058,14752,30794,2519,31876,51661,5023,53441,66585,7979,70564,62677,8920,65843,45993,7935,46541,5350,1172,4775,175989,15119,173284,222617,27894,227408,37453,5146,41858,2990,508,3774
42,rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,"Indian: London, 3...c5",1.d4 Nf6 2.Nf3 e6 3.Bf4 c5,A46,,[],502798,56752,487514,1861.2,1877.1,1792.4,1753.4,2142,122,2121,9039,528,9037,27366,1742,27247,62528,4459,62325,106596,9145,104972,140799,14847,135556,117276,15414,112409,67300,11153,64786,8299,1734,7466,255630,18731,239121,421771,46736,402889,75211,9163,77980,5816,853,6645
43,rnbqk2r/ppppbppp/4pn2/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq - 2 4,Torre Attack: 3...Be7,1.d4 Nf6 2.Nf3 e6 3.Bg5 Be7,A46,,[],404034,45761,351695,1874.2,1858.2,1735.6,1680.6,2334,237,2596,7529,664,7814,21029,1662,21326,48731,4021,47884,86310,7980,78836,120077,12820,102373,101161,13067,83202,45192,7327,37265,2563,546,2135,236037,17693,208845,346805,38473,297961,53038,6646,49727,4191,642,4007
44,rnbqkb1r/pp1p1ppp/4pn2/2p5/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Indian: 1.d4 Nf6 2.Nf3 e6 3.e3 c5,1.d4 Nf6 2.Nf3 e6 3.e3 c5,A46,,[],500023,55440,491574,1918.4,1853.9,1742.6,1686.9,2815,180,3135,9590,646,10193,26788,1840,28138,59604,4510,62329,108100,9389,106731,139938,14554,137026,119867,15011,115948,67518,10933,65101,4996,1043,4439,407253,30090,385649,424348,46340,411941,70219,8281,73291,5456,819,6342
45,rnbqk2r/ppppppbp/5np1/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 2 4,Neo-King's Indian: London System,1.d4 Nf6 2.Nf3 g6 3.Bf4 Bg7,A48,,[371],2129480,239118,2096660,1767.0,1786.9,1680.7,1687.4,29668,2615,32755,97691,8393,105232,216794,17911,230148,368150,31292,383917,493270,46631,500371,569092,61894,554827,459901,59736,435093,221077,35751,206638,17990,3814,15814,1154919,95062,1139142,1771134,196150,1722333,336475,39761,350044,21871,3207,24283
46,rnbqk2r/ppppppbp/5np1/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq - 2 4,Neo-King's Indian: Torre Attack,1.d4 Nf6 2.Nf3 g6 3.Bg5 Bg7,A48,,[],827537,98135,784679,1881.4,1879.4,1715.8,1677.1,7200,757,8747,20964,2015,22586,50259,4188,51435,96284,8050,96648,158152,14615,155384,227504,24751,216753,206668,26594,192212,124079,20574,111128,14850,3551,12554,665068,54628,642901,729255,85442,684722,92222,11786,93095,6060,907,6862
47,rnbqk2r/ppppppbp/5np1/8/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq - 1 4,Neo-King's Indian,1.d4 Nf6 2.Nf3 g6 3.c3 Bg7,A48,,[],376213,49886,363091,2012.6,1868.4,1654.4,1570.4,5769,596,7344,11443,1118,13955,20752,1852,23780,40685,3720,43446,68373,6968,68071,100890,12323,95497,99502,14387,92816,60946,11054,57509,5817,1434,5752,486275,46794,451499,324744,42590,308141,48369,6810,51239,3100,486,3711
48,rnbqk2r/ppppppbp/5np1/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 1 4,"King's Indian Defence, Normal Variation, King's Knight Variation, 3...Bg7",1.d4 Nf6 2.Nf3 g6 3.c4 Bg7,E60,,[],3362930,409431,3265647,1917.5,1900.2,1777.8,1748.3,19014,1554,20375,79337,6446,81881,213771,16992,217126,416065,35430,421332,622024,59449,622401,819083,90869,804088,844050,110985,805088,597235,98638,554790,64473,14060,57948,2056355,175556,1979923,2822529,339322,2720388,498851,63632,502579,41550,6477,42680
49,rnbqk2r/ppppppbp/5np1/8/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 1 4,Neo-King's Indian,1.d4 Nf6 2.Nf3 g6 3.e3 Bg7,A48,,"[372, 373]",1470832,181341,1625791,1819.9,1681.2,1580.1,1561.8,37584,3615,45260,97255,9160,112972,196451,18257,223798,317033,31090,360151,411234,44968,454671,389295,49250,431276,241410,35170,263061,104830,19035,110113,7030,1828,6519,1500863,137695,1583530,1212808,147058,1319786,242132,31821,284369,15892,2462,21636
50,rnbqk2r/ppppppbp/5np1/8/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 1 4,Neo-King's Indian: Fianchetto System,1.d4 Nf6 2.Nf3 g6 3.g3 Bg7,A49,,[374],998030,139750,912331,2041.0,1988.5,1824.3,1790.7,5325,594,5757,16557,1617,16617,37712,3518,36602,74721,7251,71900,135912,13966,123910,244941,29073,217870,304968,43146,273357,218512,41252,207007,18976,5062,18287,704924,69205,638272,869566,120367,791775,119674,17746,112315,8790,1637,8241
51,rn1qkb1r/pbpppppp/1p3n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Indian: Queen's Indian Accelerated,1.d4 Nf6 2.c4 b6 3.Nc3 Bb7,A50,,[],517414,48630,487154,1859.1,1828.7,1787.7,1743.5,2016,130,1896,9994,644,9127,31577,2068,29278,75088,5119,70133,129125,10281,120533,155188,14395,148293,109565,12037,103108,44085,5904,40336,4363,894,4751,484941,31790,473192,440670,40836,417278,72049,7256,65719,4695,538,4157
52,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,Benko Gambit,1.d4 Nf6 2.c4 c5 3.d5 b5,A57,,[375],1901435,235774,2157257,1983.7,2010.3,1947.6,1863.8,551,30,474,4336,215,4036,20060,1185,20351,73291,4924,83128,228095,20157,282811,506277,56718,633308,632833,82200,717773,423554,64364,406176,37385,7411,34061,666369,51576,739171,1676655,203845,1887684,209080,29253,251120,15700,2676,18453
53,rnbqkb1r/pp2pppp/3p1n2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,Benoni Defense: Hromádka System,1.d4 Nf6 2.c4 c5 3.d5 d6,A56,,[376],778884,71540,730044,1933.3,1863.6,1786.4,1732.9,2664,150,2258,12208,722,10529,37952,2266,33282,94218,6185,85343,177858,13807,165012,239151,21391,228812,182928,19561,176736,79680,9681,69874,5049,915,4267,590495,36496,583326,653898,59513,619291,116354,11071,103952,8632,956,6801
54,rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,Benoni Defense: Modern Variation,1.d4 Nf6 2.c4 c5 3.d5 e6,A60,,[639],1209101,113421,1177488,1926.1,1939.2,1866.3,1812.9,2210,106,1709,13366,684,10721,49056,2743,41915,125222,7350,107228,217015,15426,201488,316445,27993,326119,322709,33962,332549,207745,25557,192326,19965,3133,17778,534041,32409,526218,1016413,94413,994860,179219,17462,170336,13469,1546,12292
55,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,Benoni: 2...c5 3.e3 e6,1.d4 Nf6 2.c4 c5 3.e3 e6,A56,,[],242211,26697,249502,1789.2,1757.9,1724.5,1676.8,1477,96,1458,7095,466,6990,20646,1422,20260,42880,3373,42460,65563,6010,65464,71741,8178,74426,48135,6686,51866,13400,2337,14857,492,113,429,156913,10777,157213,194902,21169,200922,43907,5101,44913,3402,427,3667
